security_key,number,code,name,allotment_result_date,ballot_applications_total_raw,ballot_applications_a_raw,ballot_applications_b_raw,ballot_applications_other_raw,ballot_valid_applications_total_raw,ballot_valid_applications_a_raw,ballot_valid_applications_b_raw,ballot_valid_applications_other_raw,ballot_subscription_total_raw,ballot_subscription_a_raw,ballot_subscription_b_raw,ballot_subscription_other_raw,ballot_success_total_raw,ballot_success_a_raw,ballot_success_b_raw,ballot_success_other_raw,public_subscription_multiple,one_lot_success_rate_pct_input,industry,sub_industry,one_lot_success_rate,issuer_name,source_files
0805.HK,159,0805.HK,新吉奥房车,2025-01-10,2336.0,2333.0,3.0,0.0,3665.0,3665.0,0.0,0.0,2043.9852,2040.9852,3.0,0.0,5432.0,632.0,4800.0,0.0,2.52,80.04,非必需性消费,非日常生活消费品,0.8004000000000001,新吉奥房车,港股IPO打新中签结果.csv
0917.HK,217,0917.HK,趣致集团,2024-05-24,5765.0,5711.0,54.0,0.0,10715.0,4815.0,5900.0,0.0,4205.6085,4151.6085,54.0,0.0,655.0,121.0,534.0,0.0,12.05,60.02,非必需性消费,信息技术,0.6002000000000001,趣致集团,港股IPO打新中签结果.csv
0999.HK,171,0999.HK,小菜园,2024-12-19,2488.0,2483.0,5.0,0.0,8190.0,1565.0,6625.0,0.0,2488.0,2483.0,5.0,0.0,5965.0,559.0,5406.0,0.0,1.44,100.0,非必需性消费,非日常生活消费品,1.0,小菜园,港股IPO打新中签结果.csv
1021.HK,14,1021.HK,华沿机器人,2026-03-27,227070.0,201193.0,25877.0,0.0,47613.0,4015.0,43598.0,0.0,66210.3148,40333.3148,25877.0,0.0,41.0,28.0,13.0,0.0,5059.38,5.0,工业,信息技术,0.05,华沿机器人,港股IPO打新中签结果.csv
1187.HK,2,1187.HK,可孚医疗,2026-05-05,105939.0,104431.0,1508.0,0.0,73615.0,6115.0,67500.0,0.0,15083.0065,13575.0065,1508.0,0.0,152.0,32.0,120.0,0.0,399.08,5.0,医疗保健业,医疗保健,0.05,可孚医疗,港股IPO打新中签结果.csv
1236.HK,1,1236.HK,乐动机器人,2026-05-08,296740.0,259886.0,36854.0,0.0,51348.0,3015.0,48333.0,0.0,17226.3433,8099.7633,9126.58,0.0,39.0,27.0,12.0,0.0,6707.66,0.8,资讯科技业,工业,0.008,乐动机器人,港股IPO打新中签结果.csv
1276.HK,142,1276.HK,恒瑞医药,2025-05-23,203874.0,194421.0,9453.0,0.0,130886.0,3015.0,127871.0,0.0,92416.728,82963.728,9453.0,0.0,769.0,37.0,732.0,0.0,454.85,10.0,医疗保健业,医疗保健,0.1,恒瑞医药,港股IPO打新中签结果.csv
1304.HK,116,1304.HK,FORTIOR,2025-07-08,66796.0,65651.0,1145.0,0.0,34265.0,1615.0,32650.0,0.0,30868.3154,29723.3154,1145.0,0.0,1134.0,39.0,1095.0,0.0,138.26,20.0,资讯科技业,信息技术,0.2,FORTIOR,港股IPO打新中签结果.csv
1318.HK,173,1318.HK,毛戈平,2024-12-09,69601.0,61726.0,7875.0,0.0,89909.0,7615.0,82294.0,0.0,69601.0,61726.0,7875.0,0.0,365.0,118.0,247.0,0.0,919.18,100.0,医疗保健业,日常消费品,1.0,毛戈平,港股IPO打新中签结果.csv
1333.HK,148,1333.HK,博雷顿,2025-05-06,30638.0,30391.0,247.0,0.0,16565.0,7315.0,9250.0,0.0,4935.4883,4688.4883,247.0,0.0,179.0,57.0,122.0,0.0,198.72,2.0,工业,工业,0.02,博雷顿,港股IPO打新中签结果.csv
1334.HK,198,1334.HK,瑞昌国际控股,2024-07-09,5537.0,5531.0,6.0,0.0,14646.0,10646.0,4000.0,0.0,2317.1105,2311.1105,6.0,0.0,1292.0,153.0,1139.0,0.0,19.24,20.01,能源业,能源,0.20010000000000003,瑞昌国际控股,港股IPO打新中签结果.csv
1354.HK,203,1354.HK,经发物业,2024-07-02,7071.0,6991.0,80.0,0.0,26586.0,18530.0,8056.0,0.0,7071.0,6991.0,80.0,0.0,405.0,296.0,109.0,0.0,118.87,3.79,地产建筑业,房地产,0.0379,经发物业,港股IPO打新中签结果.csv
1364.HK,157,1364.HK,古茗,2025-02-11,29086.0,27448.0,1638.0,0.0,102441.0,5115.0,97326.0,0.0,29086.0,27448.0,1638.0,0.0,870.0,141.0,729.0,0.0,194.87,100.0,必需性消费,非日常生活消费品,1.0,古茗,港股IPO打新中签结果.csv
1384.HK,88,1384.HK,滴普科技,2025-10-27,236934.0,219961.0,16973.0,0.0,16344.0,6015.0,10329.0,0.0,25215.1007,13249.9007,11965.2,0.0,36.0,31.0,5.0,0.0,7569.83,3.0,资讯科技业,信息技术,0.03,滴普科技,港股IPO打新中签结果.csv
1471.HK,195,1471.HK,众淼控股,2024-08-05,4677.0,4677.0,0.0,0.0,7410.0,7410.0,0.0,0.0,4677.0,4677.0,0.0,0.0,1634.0,1634.0,0.0,0.0,16.07,50.0,金融业,金融,0.5,众淼控股,港股IPO打新中签结果.csv
1609.HK,3,1609.HK,天星医疗,2026-05-04,300735.0,264904.0,35831.0,0.0,47477.0,6055.0,41422.0,0.0,19151.3736,8859.6146,10291.759,0.0,43.0,32.0,11.0,0.0,7823.13,1.5,医疗保健业,医疗保健,0.015,天星医疗,港股IPO打新中签结果.csv
1641.HK,41,1641.HK,红星冷链,2026-01-12,103102.0,98005.0,5097.0,0.0,14581.0,3255.0,11326.0,0.0,4664.1228,2372.2572,2291.8656,0.0,38.0,31.0,7.0,0.0,2309.25,1.0,地产建筑业,工业,0.01,红星冷链,港股IPO打新中签结果.csv
1768.HK,39,1768.HK,鸣鸣很忙,2026-01-27,229245.0,202454.0,26791.0,0.0,54166.0,915.0,53251.0,0.0,14552.2822,7076.3885,7475.8937,0.0,40.0,24.0,16.0,0.0,1899.49,3.0,必需性消费,日常消费品,0.03,鸣鸣很忙,港股IPO打新中签结果.csv
1828.HK,121,1828.HK,富卫集团,2025-07-04,61689.0,61402.0,287.0,0.0,155786.0,6115.0,149671.0,0.0,38387.0198,38100.0198,287.0,0.0,19670.0,272.0,19398.0,0.0,37.13,20.0,金融业,金融,0.2,富卫集团,港股IPO打新中签结果.csv
1879.HK,5,1879.HK,曦智科技-P,2026-04-27,378085.0,335445.0,42640.0,0.0,102987.0,5995.0,96992.0,0.0,134273.7335,91633.7335,42640.0,0.0,53.0,28.0,25.0,0.0,5784.7,6.0,资讯科技业,信息技术,0.06,曦智科技-P,港股IPO打新中签结果.csv
1989.HK,23,1989.HK,广合科技,2026-03-19,202417.0,180250.0,22167.0,0.0,118115.0,2715.0,115400.0,0.0,39605.0147,23272.6947,16332.32,0.0,72.0,28.0,44.0,0.0,1070.72,5.0,工业,信息技术,0.05,广合科技,港股IPO打新中签结果.csv
2026.HK,84,2026.HK,小马智行-W,2025-11-05,37062.0,36619.0,443.0,0.0,79093.0,915.0,78178.0,0.0,21420.1976,20977.1976,443.0,0.0,924.0,24.0,900.0,0.0,15.88,55.0,资讯科技业,信息技术,0.55,小马智行-W,港股IPO打新中签结果.csv
2050.HK,132,2050.HK,三花智控,2025-06-20,334840.0,313491.0,21349.0,0.0,740110.0,6495.0,733615.0,0.0,215357.2546,194008.2546,21349.0,0.0,2014.0,77.0,1937.0,0.0,747.92,15.0,工业,非日常生活消费品,0.15,三花智控,港股IPO打新中签结果.csv
2097.HK,156,2097.HK,蜜雪集团,2025-02-28,264992.0,226091.0,38901.0,0.0,39095.0,1065.0,38030.0,0.0,70232.4588,42670.3088,27562.15,0.0,42.0,25.0,17.0,0.0,5258.21,8.0,必需性消费,非日常生活消费品,0.08,蜜雪集团,港股IPO打新中签结果.csv
2228.HK,211,2228.HK,晶泰控股,2024-06-12,19602.0,19303.0,299.0,0.0,27299.0,4215.0,23084.0,0.0,10448.2391,10149.2391,299.0,0.0,1084.0,88.0,996.0,0.0,103.35,20.0,医疗保健业,工业,0.2,晶泰控股,港股IPO打新中签结果.csv
2259.HK,100,2259.HK,紫金黄金国际,2025-09-29,350775.0,326642.0,24133.0,0.0,834610.0,2715.0,831895.0,0.0,198426.0875,174293.0875,24133.0,0.0,1200.0,28.0,1172.0,0.0,240.74,50.0,原材料业,原材料,0.5,紫金黄金国际,港股IPO打新中签结果.csv
2396.HK,61,2396.HK,华芢生物-B,2025-12-19,146647.0,141939.0,4708.0,0.0,26927.0,2515.0,24412.0,0.0,7931.2224,4408.9224,3522.3,0.0,40.0,26.0,14.0,0.0,791.95,2.5,医疗保健业,医疗保健,0.025,华芢生物-B,港股IPO打新中签结果.csv
2408.HK,73,2408.HK,遇见小面,2025-12-04,61057.0,59309.0,1748.0,0.0,39991.0,6855.0,33136.0,0.0,9591.874,7843.874,1748.0,0.0,89.0,37.0,52.0,0.0,425.97,2.0,非必需性消费,非日常生活消费品,0.02,遇见小面,港股IPO打新中签结果.csv
2410.HK,193,2410.HK,同源康医药-B,2024-08-19,974.0,970.0,4.0,0.0,13015.0,3015.0,10000.0,0.0,648.9756,644.9756,4.0,0.0,5958.0,1170.0,4788.0,0.0,2.29,47.88,医疗保健业,医疗保健,0.4788,同源康医药-B,港股IPO打新中签结果.csv
2431.HK,169,2431.HK,佑驾创新,2024-12-24,11407.0,11382.0,25.0,0.0,20015.0,4015.0,16000.0,0.0,7898.8897,7873.8897,25.0,0.0,2786.0,51.0,2735.0,0.0,14.04,50.01,资讯科技业,非日常生活消费品,0.5001,佑驾创新,港股IPO打新中签结果.csv
2432.HK,170,2432.HK,越疆,2024-12-20,4243.0,4232.0,11.0,0.0,20665.0,5665.0,15000.0,0.0,2673.9687,2662.9687,11.0,0.0,2342.0,439.0,1903.0,0.0,9.25,50.0,资讯科技业,信息技术,0.5,越疆,港股IPO打新中签结果.csv
2438.HK,221,2438.HK,出门问问,2024-04-23,15352.0,15140.0,212.0,0.0,19343.0,6115.0,13228.0,0.0,10303.465,10091.465,212.0,0.0,816.0,113.0,703.0,0.0,117.39,25.01,资讯科技业,信息技术,0.2501,出门问问,港股IPO打新中签结果.csv
2443.HK,215,2443.HK,汽车街,2024-05-30,19474.0,18876.0,598.0,0.0,19765.0,10515.0,9250.0,0.0,6621.8249,6023.8249,598.0,0.0,81.0,42.0,39.0,0.0,433.34,5.01,非必需性消费,非日常生活消费品,0.0501,汽车街,港股IPO打新中签结果.csv
2453.HK,232,2453.HK,美中嘉和,2024-01-08,1638.0,1635.0,3.0,0.0,16420.0,4565.0,11855.0,0.0,1638.0,1635.0,3.0,0.0,7850.0,1923.0,5927.0,0.0,1.99,100.0,医疗保健业,医疗保健,1.0,美中嘉和,港股IPO打新中签结果.csv
2460.HK,186,2460.HK,华润饮料,2024-10-22,61885.0,56146.0,5739.0,0.0,605667.0,5515.0,600152.0,0.0,51046.9534,45307.9534,5739.0,0.0,4111.0,213.0,3898.0,0.0,234.49,30.0,必需性消费,日常消费品,0.3,华润饮料,港股IPO打新中签结果.csv
2465.HK,184,2465.HK,龙蟠科技,2024-10-29,6292.0,6282.0,10.0,0.0,13455.0,5855.0,7600.0,0.0,5377.9098,5367.9098,10.0,0.0,3722.0,330.0,3392.0,0.0,3.99,70.02,工业,信息技术,0.7001999999999999,龙蟠科技,港股IPO打新中签结果.csv
2476.HK,8,2476.HK,胜宏科技,2026-04-20,250606.0,219446.0,31160.0,0.0,102622.0,915.0,101707.0,0.0,57310.4833,34917.2333,22393.25,0.0,168.0,24.0,144.0,0.0,431.15,0.71,工业,信息技术,0.0070999999999999995,胜宏科技,港股IPO打新中签结果.csv
2477.HK,231,2477.HK,经纬天地,2024-01-11,3480.0,3479.0,1.0,0.0,8427.0,6865.0,1562.0,0.0,1447.0441,1446.0441,1.0,0.0,656.0,447.0,209.0,0.0,28.64,20.04,电讯业,通讯业务,0.2004,经纬天地,港股IPO打新中签结果.csv
2479.HK,206,2479.HK,天聚地合,2024-06-27,36119.0,34064.0,2055.0,0.0,24073.0,5455.0,18618.0,0.0,9427.3006,7372.3006,2055.0,0.0,71.0,36.0,35.0,0.0,602.87,1.28,资讯科技业,信息技术,0.0128,天聚地合,港股IPO打新中签结果.csv
2493.HK,6,2493.HK,迈威生物-B,2026-04-27,126378.0,122556.0,3822.0,0.0,51798.0,3015.0,48783.0,0.0,14796.6271,10974.6271,3822.0,0.0,82.0,27.0,55.0,0.0,481.71,1.0,医疗保健业,医疗保健,0.01,迈威生物-B,港股IPO打新中签结果.csv
2495.HK,199,2495.HK,声通科技,2024-07-09,2734.0,2723.0,11.0,0.0,21929.0,5515.0,16414.0,0.0,1692.9298,1681.9298,11.0,0.0,5996.0,1663.0,4333.0,0.0,3.51,34.86,资讯科技业,信息技术,0.3486,声通科技,港股IPO打新中签结果.csv
2497.HK,224,2497.HK,富景中国控股,2024-03-27,12820.0,12483.0,337.0,0.0,16015.0,9265.0,6750.0,0.0,3833.1274,3496.1274,337.0,0.0,65.0,33.0,32.0,0.0,294.13,10.02,必需性消费,日常消费品,0.1002,富景中国控股,港股IPO打新中签结果.csv
2498.HK,235,2498.HK,速腾聚创,2024-01-04,1786.0,1773.0,13.0,0.0,3115.0,715.0,2400.0,0.0,1786.0,1773.0,13.0,0.0,3115.0,715.0,2400.0,0.0,0.58,100.0,资讯科技业,信息技术,1.0,速腾聚创,港股IPO打新中签结果.csv
2503.HK,233,2503.HK,中深建业,2024-01-08,5112.0,5101.0,11.0,0.0,12599.0,8115.0,4484.0,0.0,5112.0,5101.0,11.0,0.0,1859.0,52.0,1807.0,0.0,58.44,100.0,地产建筑业,工业,1.0,中深建业,港股IPO打新中签结果.csv
2505.HK,216,2505.HK,EDA集团控股,2024-05-27,9929.0,9722.0,207.0,0.0,19996.0,6115.0,13881.0,0.0,4127.757,3920.757,207.0,0.0,267.0,70.0,197.0,0.0,103.44,10.01,工业,工业,0.1001,EDA集团控股,港股IPO打新中签结果.csv
2506.HK,166,2506.HK,讯飞医疗科技,2024-12-27,3136.0,3128.0,8.0,0.0,22180.0,4344.0,17836.0,0.0,3136.0,3128.0,8.0,0.0,6351.0,553.0,5798.0,0.0,3.66,80.05,医疗保健业,医疗保健,0.8005,讯飞医疗科技,港股IPO打新中签结果.csv
2507.HK,197,2507.HK,西锐,2024-07-11,4795.0,4789.0,6.0,0.0,24169.0,6169.0,18000.0,0.0,4795.0,4789.0,6.0,0.0,20646.0,2646.0,18000.0,0.0,1.56,100.0,工业,工业,1.0,西锐,港股IPO打新中签结果.csv
2508.HK,128,2508.HK,圣贝拉集团,2025-06-25,52464.0,51796.0,668.0,0.0,31797.0,6855.0,24942.0,0.0,14587.7689,13919.7689,668.0,0.0,850.0,170.0,680.0,0.0,193.0,2.54,非必需性消费,医疗保健,0.0254,圣贝拉集团,港股IPO打新中签结果.csv
2509.HK,228,2509.HK,荃信生物-B,2024-03-19,14525.0,14312.0,213.0,0.0,16327.0,7315.0,9012.0,0.0,4237.5284,4024.5284,213.0,0.0,166.0,53.0,113.0,0.0,163.15,5.0,医疗保健业,医疗保健,0.05,荃信生物-B,港股IPO打新中签结果.csv
2510.HK,182,2510.HK,德翔海运,2024-10-31,6861.0,6846.0,15.0,0.0,34315.0,7315.0,27000.0,0.0,3023.6178,3008.6178,15.0,0.0,5586.0,375.0,5211.0,0.0,12.09,5.87,工业,工业,0.0587,德翔海运,港股IPO打新中签结果.csv
2512.HK,210,2512.HK,云工场,2024-06-13,8846.0,8810.0,36.0,0.0,18817.0,10067.0,8750.0,0.0,8846.0,8810.0,36.0,0.0,2958.0,183.0,2775.0,0.0,25.79,100.0,资讯科技业,信息技术,1.0,云工场,港股IPO打新中签结果.csv
2513.HK,48,2513.HK,智谱,2026-01-07,204871.0,190045.0,14826.0,0.0,50470.0,1615.0,48855.0,0.0,50940.0983,36114.0983,14826.0,0.0,108.0,26.0,82.0,0.0,1159.46,5.0,资讯科技业,信息技术,0.05,智谱,港股IPO打新中签结果.csv
2515.HK,222,2515.HK,天津建发,2024-04-22,16354.0,15702.0,652.0,0.0,10964.0,5415.0,5549.0,0.0,6010.8351,5358.8351,652.0,0.0,103.0,48.0,55.0,0.0,433.06,10.01,地产建筑业,工业,0.1001,天津建发,港股IPO打新中签结果.csv
2519.HK,180,2519.HK,傲基股份,2024-11-07,5570.0,5546.0,24.0,0.0,17997.0,4015.0,13982.0,0.0,4896.0496,4872.0496,24.0,0.0,4348.0,294.0,4054.0,0.0,17.74,70.02,非必需性消费,非日常生活消费品,0.7001999999999999,傲基股份,港股IPO打新中签结果.csv
2522.HK,212,2522.HK,一脉阳光,2024-06-06,17855.0,17155.0,700.0,0.0,12637.0,2655.0,9982.0,0.0,5416.1524,4716.1524,700.0,0.0,181.0,47.0,134.0,0.0,336.33,3.01,医疗保健业,医疗保健,0.0301,一脉阳光,港股IPO打新中签结果.csv
2525.HK,107,2525.HK,禾赛-W,2025-09-15,93392.0,91221.0,2171.0,0.0,207515.0,4015.0,203500.0,0.0,47249.0656,45078.0656,2171.0,0.0,1030.0,28.0,1002.0,0.0,168.65,30.0,资讯科技业,信息技术,0.3,禾赛-W,港股IPO打新中签结果.csv
2526.HK,15,2526.HK,德适-B,2026-03-27,115017.0,108097.0,6920.0,0.0,38254.0,3255.0,34999.0,0.0,14123.3857,7926.1057,6197.28,0.0,48.0,31.0,17.0,0.0,1073.37,3.0,医疗保健业,医疗保健,0.03,德适-B,港股IPO打新中签结果.csv
2529.HK,219,2529.HK,泓盈城市服务,2024-05-16,5727.0,5714.0,13.0,0.0,12660.0,7660.0,5000.0,0.0,4745.0631,4732.0631,13.0,0.0,1488.0,74.0,1414.0,0.0,47.59,80.03,地产建筑业,房地产,0.8003,泓盈城市服务,港股IPO打新中签结果.csv
2530.HK,162,2530.HK,纽曼思,2025-01-09,9340.0,9277.0,63.0,0.0,11427.0,2115.0,9312.0,0.0,5958.051,5895.051,63.0,0.0,1045.0,29.0,1016.0,0.0,65.17,50.01,医疗保健业,非日常生活消费品,0.5001,纽曼思,港股IPO打新中签结果.csv
2531.HK,196,2531.HK,广联科技控股,2024-07-12,2613.0,2611.0,2.0,0.0,6215.0,4215.0,2000.0,0.0,2613.0,2611.0,2.0,0.0,2895.0,895.0,2000.0,0.0,2.49,100.0,资讯科技业,信息技术,1.0,广联科技控股,港股IPO打新中签结果.csv
2533.HK,194,2533.HK,黑芝麻智能,2024-08-07,3296.0,3295.0,1.0,0.0,8115.0,6115.0,2000.0,0.0,3296.0,3295.0,1.0,0.0,3419.0,1419.0,2000.0,0.0,2.52,100.0,资讯科技业,信息技术,1.0,黑芝麻智能,港股IPO打新中签结果.csv
2535.HK,229,2535.HK,泓基集团,2024-03-07,6323.0,6248.0,75.0,0.0,16915.0,10165.0,6750.0,0.0,1807.2592,1732.2592,75.0,0.0,476.0,265.0,211.0,0.0,70.48,2.57,地产建筑业,工业,0.025699999999999997,泓基集团,港股IPO打新中签结果.csv
2536.HK,226,2536.HK,百乐皇宫,2024-03-25,7141.0,7097.0,44.0,0.0,27358.0,5215.0,22143.0,0.0,7141.0,7097.0,44.0,0.0,4195.0,405.0,3790.0,0.0,15.96,100.0,非必需性消费,非日常生活消费品,1.0,百乐皇宫,港股IPO打新中签结果.csv
2539.HK,75,2539.HK,乐摩科技,2025-12-02,173139.0,159958.0,13181.0,0.0,21493.0,7315.0,14178.0,0.0,5780.1745,2980.8191,2799.3554,0.0,40.0,33.0,7.0,0.0,7324.29,0.8,非必需性消费,非日常生活消费品,0.008,乐摩科技,港股IPO打新中签结果.csv
2540.HK,230,2540.HK,乐思集团,2024-03-07,5113.0,5104.0,9.0,0.0,11846.0,6646.0,5200.0,0.0,5113.0,5104.0,9.0,0.0,3041.0,179.0,2862.0,0.0,22.35,100.0,非必需性消费,通讯业务,1.0,乐思集团,港股IPO打新中签结果.csv
2543.HK,108,2543.HK,大行科工,2025-09-08,223909.0,206523.0,17386.0,0.0,27975.0,7015.0,20960.0,0.0,7903.6932,3834.8832,4068.81,0.0,41.0,32.0,9.0,0.0,7558.4,0.02,非必需性消费,非日常生活消费品,0.0002,大行科工,港股IPO打新中签结果.csv
2545.HK,204,2545.HK,中赣通信,2024-07-02,14245.0,14115.0,130.0,0.0,33565.0,15265.0,18300.0,0.0,12664.8269,12534.8269,130.0,0.0,1053.0,57.0,996.0,0.0,195.99,70.01,电讯业,通讯业务,0.7001000000000001,中赣通信,港股IPO打新中签结果.csv
2546.HK,65,2546.HK,智汇矿业,2025-12-18,177542.0,160873.0,16669.0,0.0,33713.0,6115.0,27598.0,0.0,12569.436,6338.5442,6230.8918,0.0,40.0,32.0,8.0,0.0,5248.15,1.0,原材料业,原材料,0.01,智汇矿业,港股IPO打新中签结果.csv
2549.HK,190,2549.HK,卡罗特,2024-09-30,56802.0,50883.0,5919.0,0.0,53241.0,8455.0,44786.0,0.0,34849.1495,28930.1495,5919.0,0.0,160.0,65.0,95.0,0.0,1347.27,15.0,非必需性消费,非日常生活消费品,0.15,卡罗特,港股IPO打新中签结果.csv
2550.HK,213,2550.HK,宜搜科技,2024-06-06,9239.0,9189.0,50.0,0.0,11335.0,8455.0,2880.0,0.0,1828.2263,1778.2263,50.0,0.0,123.0,46.0,77.0,0.0,114.59,10.02,非必需性消费,信息技术,0.1002,宜搜科技,港股IPO打新中签结果.csv
2551.HK,181,2551.HK,晶科电子股份,2024-11-07,61975.0,54157.0,7818.0,0.0,15495.0,10915.0,4580.0,0.0,15229.3162,7424.3162,7805.0,0.0,42.0,39.0,3.0,0.0,5677.83,0.24,工业,信息技术,0.0024,晶科电子股份,港股IPO打新中签结果.csv
2555.HK,223,2555.HK,茶百道,2024-04-22,4593.0,4589.0,4.0,0.0,9315.0,2815.0,6500.0,0.0,4593.0,4589.0,4.0,0.0,9315.0,2815.0,6500.0,0.0,0.5,100.0,必需性消费,非日常生活消费品,1.0,茶百道,港股IPO打新中签结果.csv
2556.HK,220,2556.HK,迈富时,2024-05-14,2576.0,2565.0,11.0,0.0,5855.0,4655.0,1200.0,0.0,1797.0872,1786.0872,11.0,0.0,511.0,241.0,270.0,0.0,5.95,55.04,资讯科技业,信息技术,0.5504,迈富时,港股IPO打新中签结果.csv
2559.HK,207,2559.HK,嘀嗒出行,2024-06-27,19815.0,19628.0,187.0,0.0,24964.0,6855.0,18109.0,0.0,7924.278,7737.278,187.0,0.0,1163.0,199.0,964.0,0.0,112.9,10.0,非必需性消费,信息技术,0.1,嘀嗒出行,港股IPO打新中签结果.csv
2560.HK,163,2560.HK,海螺材料科技,2025-01-08,11856.0,11839.0,17.0,0.0,18364.0,6115.0,12249.0,0.0,9681.8,9664.8,17.0,0.0,5809.0,207.0,5602.0,0.0,25.83,70.0,原材料业,原材料,0.7,海螺材料科技,港股IPO打新中签结果.csv
2561.HK,154,2561.HK,维昇药业-B,2025-03-20,22345.0,22138.0,207.0,0.0,32065.0,2715.0,29350.0,0.0,7497.9614,7290.9614,207.0,0.0,2109.0,165.0,1944.0,0.0,72.64,6.27,医疗保健业,医疗保健,0.06269999999999999,维昇药业-B,港股IPO打新中签结果.csv
2563.HK,183,2563.HK,华昊中天医药-B,2024-10-30,7175.0,7149.0,26.0,0.0,17015.0,4765.0,12250.0,0.0,1970.6857,1944.6857,26.0,0.0,1457.0,177.0,1280.0,0.0,21.45,4.45,医疗保健业,医疗保健,0.044500000000000005,华昊中天医药-B,港股IPO打新中签结果.csv
2565.HK,140,2565.HK,派格生物医药-B,2025-05-26,49627.0,48276.0,1351.0,0.0,18383.0,3255.0,15128.0,0.0,10415.9861,9064.9861,1351.0,0.0,124.0,33.0,91.0,0.0,743.78,8.0,医疗保健业,医疗保健,0.08,派格生物医药-B,港股IPO打新中签结果.csv
2566.HK,177,2566.HK,九源基因,2024-11-27,30759.0,28214.0,2545.0,0.0,64865.0,9265.0,55600.0,0.0,21275.3921,18730.3921,2545.0,0.0,396.0,89.0,307.0,0.0,675.83,20.01,医疗保健业,医疗保健,0.20010000000000003,九源基因,港股IPO打新中签结果.csv
