code,name,listing_date,prospectus_date,offer_start_date,offer_end_date,pricing_date,allotment_date,board,offering_type,is_latest,offer_price_low,offer_price_high,issue_price,board_lot,market_cap_hkdm,offer_shares,public_offer_shares,placing_shares,gross_proceeds_hkd,net_proceeds_hkd,proceeds_currency,use_of_proceeds,public_subscription_multiple,international_subscription_multiple,valuation_metric,source_table,public_subscription_multiple_ballot,one_lot_success_rate_pct,industry_level_1,industry_level_2,total_applicants,name_cs,cornerstone_count,cornerstone_amount_hkd,cornerstone_top_names,cornerstone_quality_score,lockup_end_date,record_date,margin_amount_hkd,margin_multiple,margin_over_text,underwriter_count,top_underwriters,bookrunner_count,top_bookrunners,lifecycle_stage,pre_listing_score,decision_tier,model_recommendation,risk_tags
2476.HK,胜宏科技,2026-04-21,2026-04-22,2026-04-13,2026-04-16,2026-04-16,2026-04-20,主板,"发售以供认购,发售以供配售",是,,209.88,209.88,100,21199.67,83348000,8334800,75013200,23134547700.0,22879790000.0,HKD,"所得款项净额约74.0%,预期将用于扩展公司在中国内地的生产;所得款项净额约7.0%,预期将用于购买mSAP制造设备及其他机器的智能制造设备,以进一步多样化公司的产品组合,保持在先进PCB技术领域的竞争优势;所得款项净额约9.0%,预期将于五年期间用于研发活动。所得款项净额约10.0%,预期将用作营运资金及一般公司用途。",431.15,18.5,33.768835450368,首发信息一览,431.15,0.71,工业,信息技术,250606,胜宏科技,39.0,7812267345.0,"CPE Rosewood Investment Limited；Janchor Partners Pan-Asian Master Fund；Deliante Holdings Co., Ltd.；香港麦逊电子有限公司；New Alternative Limited",60.0,2026-10-21,2026-04-16,530029520000,404.6717,超购于301.9938倍,,,1.0,农银国际融资有限公司,已上市/半新股,66.6,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,一手中签率低；基石阵容较多
3277.HK,长光辰芯,2026-04-17,2026-05-08,2026-04-09,2026-04-14,2026-04-09,2026-04-16,主板,"发售以供认购,发售以供配售",是,39.88,39.88,39.88,100,4028.23,65294200,6529500,58764700,2994521404.0,2883400000.0,HKD,"约55.0%预计将用于增加公司的研发投资,以推动持续创新并支持公司在主要应用场景(即工业成像、科学成像、专业影像及医疗成像解决方案)的持续研发及产品迭代;约21.0%预计将用于建立一个先进的CMOS图像传感器研发中心;约4.0%预计用于扩展公司的封装及测试生产线;约10.0%预计用于通过战略性地域扩张,增强公司的海外运营;约10.0%预计用于营运资金及一般企业用途。",1138.21,22.69,43.479034696524,首发信息一览,1138.21,1.0,工业,信息技术,266501,长光辰芯,30.0,1301989000.24,CPE Peepal Investment Limited；HHLR Advisors Ltd.；UBS Asset Management (Singapore) Ltd.；Perseverance Asset Management International (Singapore) Pte. Ltd.；未来资产证券(香港)有限公司,60.0,2026-10-17,2026-04-14,213781830000,1065.9817,超购于819.9859倍,,,,,已上市/半新股,80.1,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
0068.HK,群核科技,2026-04-17,2026-04-20,2026-04-09,2026-04-14,2026-04-15,2026-04-16,主板,"发售以供认购,发售以供配售",是,6.72,7.62,7.62,500,3848.43,160619000,16062000,144557000,1407501630.0,1266400000.0,HKD,所得款项净额约30.0%将用于实施公司的国际扩张策略;所得款项净额约20.0%将用于增强现有产品的功能;所得款项净额约20.0%将用于支持公司的国内销售及市场推广活动;所得款项净额约20.0%将用于投资公司的核心技术及基础设施;所得款项净额约10.0%将用作营运资金及一般企业用途。,1590.56,14.46,32.293016953735,首发信息一览,1590.56,3.0,资讯科技业,信息技术,240700,群核科技,9.0,454524740.0,"泰康人寿保险有限责任公司；阳光人寿保险股份有限公司；REDWOOD ELITE LIMITED；广发基金管理有限公司及广发国际资产管理有限公司；Mirae Asset Securities Co., Ltd.",60.0,2026-10-17,2026-04-14,131191990000,1381.456,超购于1070.8961倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,82.0,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
6656.HK,思格新能,2026-04-16,2026-04-15,2026-04-08,2026-04-13,2026-04-08,2026-04-15,主板,"发售以供认购,发售以供配售",是,324.2,324.2,324.2,100,32746.96,13573900,1357400,12216500,4400658380.0,4189900000.0,HKD,"约38.0%将用于进一步扩大公司的研发团队及提升公司的研发设备及技术;约32.0%将用于加强公司的营销及售后服务,以推动扩大公司的全球客户群和业务覆盖范围;约12.0%将用于扩张产能;约9.0%将用于多元化公司的产品组合及扩展公司的工商业光储充解决方案;约9.0%将用于营运资金及一般公司用途。",1102.05,31.2,49.813602413737,首发信息一览,1102.05,2.0,工业,工业,202730,思格新能,21.0,2192126469.0,Aranda Investments Pte. Ltd.；上海陆家嘴(集团)有限公司；高盛资产管理(香港)有限公司；UBS Asset Management (Singapore) Ltd.；CPE Energy Investment Limited,60.0,2026-10-16,2026-04-13,358612800000,1058.0714,超购于813.9011倍,,,,,已上市/半新股,82.9,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
0664.HK,铜师傅,2026-03-31,2026-04-30,2026-03-23,2026-03-26,2026-03-27,2026-03-30,主板,"发售以供认购,发售以供配售",是,60.0,68.0,60.0,100,6868.57,7406800,740700,6666100,444408000.0,390160000.0,HKD,"所得款项净额约38.0%分配用于提升公司的产品开发及设计能力,其乃公司增长策略的基础;所得款项净额约24.0%分配用于提升公司的内部产能及加强需求预测与制造产出的一致性,从而提高履约灵活性并支持长期产品供应;所得款项净额约24.0%分配用于扩大及加强公司的零售及营销基础设施,重点巩固公司在中国的直营店网络、加快国际化布局及增强公司的数字化营销和内容开发能力;所得款项净额约4.0%分配用于加强公司的数字化和信息基础设施;所得款项净额约10.0%将保留用于一般营运资金及运营灵活性。",59.55,1.47,6.7505535453907,首发信息一览,59.55,2.78,非必需性消费,非日常生活消费品,26280,铜师傅,1.0,30000000.0,建投国际(香港)有限公司,50.0,2026-09-30,2026-03-26,2324170000,58.5952,超购于45.0732倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,45.7,D 回避/仅跟踪,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,一手中签率低
3625.HK,傅里叶,2026-03-31,2026-03-30,2026-03-23,2026-03-26,2026-03-27,2026-03-30,主板,"发售以供认购,发售以供配售",是,40.0,50.0,40.0,100,5050.43,12000000,600000,11400000,480000000.0,422700000.0,HKD,"所得款项净额约46.8%,将于未来五年用于建立一个新的研发中心,以提升公司功放音频芯片的研发能力及技术竞争力。所得款项净额约17.8%将用于采购自动测试设备及建设内部自动测试验证线,以及招聘供应链管理工程师。所得款项净额约17.3%将用于寻求策略性收购及合作,以加强公司的产业整合,并巩固公司在功放音频芯片行业的地位。所得款项净额约8.1%将用于产品的营销及销售。所得款项净额约10.0%将用作营运资金及其他一般企业用途。",3118.43,2.93,,首发信息一览,3118.43,5.0,资讯科技业,信息技术,118537,,,,,,,2026-03-26,52185590000,2225.0508,超购于1738.3210倍,,,1.0,农银国际融资有限公司,已上市/半新股,72.4,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
1021.HK,华沿机器人,2026-03-30,2026-04-26,2026-03-20,2026-03-25,2026-03-20,2026-03-27,主板,"发售以供认购,发售以供配售",是,17.0,17.0,17.0,200,3434.29,80785000,4039400,76745600,1808317200.0,1698870000.0,HKD,"所得款项净额约55.0%,将于未来五年用于提升公司的研发能力。所得款项净额约20.0%,将于未来五年用于海外业务发展,强化公司的市场领导地位,推进公司加强销售渠道和加快市场扩张步伐的商业策略。所得款项净额约15.0%,将于未来五年用于升级并扩建生产能力。所得款项净额约10.0%,将用于营运资金及一般企业用途。",5059.38,16.65,42.560329570498,首发信息一览,5059.38,5.0,工业,信息技术,227070,华沿机器人,9.0,769625760.0,HHLRA基金；广发基金；Morgan Stanley & Co. International plc；晟信集团有限公司；灏浚投资及华泰资本投资有限公司,55.0,2026-09-30,2026-03-25,281351030000,5243.0824,超购于4096.1581倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,85.1,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2726.HK,瀚天天成,2026-03-30,2026-03-27,2026-03-20,2026-03-25,2026-03-20,2026-03-27,主板,"发售以供认购,发售以供配售",是,76.26,76.26,76.26,50,3851.46,21492050,2149250,19342800,1638983733.0,1559500000.0,HKD,"所得款项净额的约71%,将用于在未来五年以严谨且审慎的方式扩大碳化硅外延晶片产能,以满足不断增长的市场需求；所得款项净额的约19%,将用于碳化硅外延晶片研发,以提升公司的技术能力并巩固公司的技术优势；所得款项净额的约10%,将用作营运资金及一般公司用途。",50.66,1.95,47.273014777383,首发信息一览,50.66,20.0,资讯科技业,信息技术,45084,瀚天天成,1.0,774797022.3,厦门先进制造业股权投资基金合伙企业(有限合伙),55.0,2027-09-30,2026-03-25,5122080000,39.3261,超购于30.2509倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,49.5,D 回避/仅跟踪,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
2526.HK,德适-B,2026-03-30,2026-03-27,2026-03-20,2026-03-25,2026-03-26,2026-03-27,主板,"发售以供认购,发售以供配售",是,95.6,112.5,99.0,50,5681.73,7999200,799950,7199250,791920800.0,719800000.0,HKD,约49.0%将分配至公司核心产品AI Auto Vision的研发及商业化。约10.0%将于上市后未来三年分配至公司其他医学影像软件候选产品及医疗器械的进一步研发。约20.0%将分配至加强公司的iMedImage基座模型及AI技术。约8.0%将分配至加强公司在中国的商业化能力及市场渗透。约5.0%将分配至透过聘请约两名初级当地销售代表、八名中级当地销售代表及九名资深当地销售代表扩大公司在全球市场的业务。约8.0%将分配至寻求医疗价值链中的上下游参与者的战略合作及投资机遇。,1073.37,3.45,,首发信息一览,1073.37,3.0,医疗保健业,医疗保健,115017,,,,,,,2026-03-25,63781570000,905.8923,超购于707.7284倍,1.0,富途证券国际(香港)有限公司,1.0,农银国际融资有限公司,已上市/半新股,63.4,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
6636.HK,极视角,2026-03-30,2026-03-27,2026-03-20,2026-03-25,2026-03-20,2026-03-27,主板,"发售以供认购,发售以供配售",是,40.0,40.0,40.0,50,2020.16,12480000,624000,11856000,499200000.0,434400000.0,HKD,约60.0%的所得款项净额预期将用于增强公司的研发能力;约30.0%的所得款项净额预期将用于提升公司的商业化能力;约10.0%的所得款项净额预期将用于营运资金及一般企业用途。,4591.37,3.41,9.4551282051282,首发信息一览,4591.37,10.0,资讯科技业,信息技术,159089,极视角,2.0,47200000.0,政金(香港)国际有限公司；George Kent International Pte.Ltd.,50.0,2026-12-30,2026-03-25,83851250000,4298.7841,超购于3358.4250倍,,,1.0,农银国际融资有限公司,已上市/半新股,74.9,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤
2729.HK,凯乐士科技,2026-03-24,2026-04-20,2026-03-16,2026-03-19,2026-03-20,2026-03-23,主板,"发售以供认购,发售以供配售",是,16.4,20.4,16.66,200,4121.15,36798000,3679800,33118200,613054680.0,555700000.0,HKD,"约24.5%未来六年内用于推进公司的核心机器人产品线(例如改善现有产品及开发新产品),以加强公司的市场地位、扩大公司的解决方案服务范围,并强化公司在场内物流机器人领域的领导地位。约20.5%将用于公司底层技术的研发(例如数字孪生技术、大模型技术及结合AI技术的机器人技术)及软件能力开发,以加强公司的技术能力并提升公司的产品性能,使公司能够为客户提供更智能高效的解决方案。约25.0%将用于扩大产能及提升制造能力(例如扩大制造能力及升级公司的生产系统)。约20.0%将用于支持公司的市场开发计划,包括有选择的海外业务扩张,旨在加强公司的品牌知名度及提升公司服务跨国客户的能力。约10.0%将用作营运资金及其他一般公司用途,以支持公司的日常营运及整体业务增长。",2153.26,3.37,,首发信息一览,2153.26,5.0,资讯科技业,信息技术,107253,,,,,,,2026-03-19,115379180000,1966.0763,超购于1535.9971倍,,,1.0,农银国际融资有限公司,已上市/半新股,72.6,B 重点观察,保持交易观察；关注定价、配发结果、暗盘与首日承接，不建议无条件追高。,公开超购极热；孖展拥挤；一手中签率低
2632.HK,泽景股份,2026-03-24,2026-03-23,2026-03-16,2026-03-19,2026-03-20,2026-03-23,主板,"发售以供认购,发售以供配售",是,42.0,48.0,44.2,50,2424.2,16226500,1622650,14603850,717211300.0,649670000.0,HKD,"预计所得款项净额的约46.7%将用于生产线扩展及自动化、智能化升级。预计所得款项净额的约32.4%将用于提升公司的研发及技术能力,以及升级公司的现有解决方案及开发基于同源技术的新产品。预计所得款项净额的约10.9%将用于与专注于光学成像、近眼显示、可穿戴产品等其他相关领域的产业价值链参与者的潜在战略合作,旨在巩固及提升公司的领先市场地位及技术能力。预计所得款项净额的约10.0%将用于营运资金及一般公司用途。",68.89,1.34,15.329861646073,首发信息一览,68.89,30.0,非必需性消费,信息技术,31183,泽景股份,2.0,109947500.0,盈科壹号(香港)有限公司；香港高精尖产业(北京)发展投资有限公司,55.0,2026-09-24,2026-03-19,2430670000,39.2698,超购于30.2075倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,49.7,D 回避/仅跟踪,暂不主动参与；仅在明显低估或上市后资金重新进场时复盘。,等待更多结构数据
3355.HK,飞速创新,2026-03-23,2026-04-17,2026-03-13,2026-03-18,2026-03-19,2026-03-20,主板,"发售以供认购,发售以供配售",是,35.2,41.6,41.6,100,4201.96,40000000,4000000,36000000,1900109120.0,1787130000.0,HKD,"所得款项净额约40.0%将用于未来五年公司技术平台的数智化强化研发,战略重点包括(i)强化产品及解决方案开发能力;(ii)推进底层系统架构;及(iii)开发新的协议功能;所得款项净额约30.0%将用于提升公司于主要海外市场的交付能力;所得款项净额约20.0%将用于公司网络解决方案和服务业务平台的数字化;所得款项净额约10.0%将用作营运资金及一般企业用途。",1579.71,10.92,37.055024608271,首发信息一览,1579.71,1.0,资讯科技业,信息技术,11492,飞速创新,11.0,704085902.0,Hao Great China Focus Fund；Great Holding Development Limited；WT Asset Management Limited；Caitong Funds SPC – Strategic Equity Fund III SP；聚鸣最终客户及CICC FT,60.0,2026-09-23,2026-03-18,203096140000,1560.998,超购于1219.5296倍,,,,,已上市/半新股,79.4,A 高优先,一级重点研究；若估值与配售结构合理，可争取额度/锚定，并准备二级回踩买点。,公开超购极热；孖展拥挤；一手中签率低；基石阵容较多
2701.HK,国民技术,2026-03-23,2026-03-20,2026-03-13,2026-03-18,2026-03-19,2026-03-20,主板,"发售以供认购,发售以供配售",是,,10.8,10.8,200,2181.78,95000000,9500000,85500000,1026000000.0,943900000.0,HKD,"约50.8%用于增强公司的研发能力,开发新产品系列及提升产品性能,包括高性能MCU、多协议通信芯片、专业市场芯片、车规级芯片等。约9.2%用于升级公司的现有产品组合。约15.0%的所得款项净额或141.6百万港元将用于开展战略投资及收购。约15.0%用于偿还部分尚未偿还银行贷款。约10.0%用于营运资金及其他一般公司用途。",131.83,2.51,13.64522417154,首发信息一览,131.83,30.0,资讯科技业,信息技术,56547,国民技术,5.0,140000000.0,国华人寿保险股份有限公司；Harvest Oriental II SP；戴婉琴；安江波；欣旺达财资(香港)有限公司,55.0,2026-09-23,2026-03-18,6133240000,76.4116,超购于58.7781倍,1.0,富途证券国际(香港)有限公司,,,已上市/半新股,53.4,C 等待触发,等待补充字段或价格触发；更适合二级深V/回踩确认后再行动。,基石阵容较多
